,単語,意味
0,survey,"調査,調査／~を調査する,調査,調査"
1,interview,"面接,面接する、会見する,面接(する),インタビュー"
2,exhibition,"展示,展示会、展示物、展示,展示"
3,conference,"会議,会議、学会,会議,会議"
4,available,"利用できる,入手できる、利用できる、購入できる、,利用可能な、入手可能な,利用可能な"
5,annual,"年1回の,年に1度の、毎年恒例の、年間の,毎年の,年間の"
6,equipment,"備品／器具,機器、装備,装置,装置、設備"
7,department,"部署,部門、売り場,部門、課"
8,refund,"払い戻す,返金／返金する,返金,払い戻し"
9,receipt,"領収書,レシート、領収書,領収書"
10,schedule,"予定, 計画,~を予定する／予定、スケジュール,〜を予定する,スケジュール"
11,meeting,"会議,会議,ミーティング"
12,customer,"客,顧客、客,顧客,顧客"
13,employee,"従業員,社員、従業員,社員,従業員"
14,actually,"実際は,実際に"
15,according to,"〜によれば,~によると、~に従って"
16,change,"変える／つり銭,小銭,変化、変える"
17,contact,"連絡を取る,連絡をとる,〜と連絡を取る,接点、連絡を取る"
18,purchase,"購入する,購入する／購入品,購入する"
19,provide,"提供する,提供する,提供する"
20,building,"建物,建物"
21,probably,"おそらく,おそらく,おそらく"
22,delay,"遅れ,遅らせる、延期する,〜を遅らせる,遅れる"
23,opportunity,"機会,機会、チャンス,機会,機会"
24,agree,"賛成する,同意する"
25,invoice,"請求書,請求書、送り状,請求書、送り状"
26,appointment,"予約／約束,約束、予約,約束,約束、アポ"
27,increase,"増加／増える,増加／増える、増やす,増加する,増加させる"
28,piece,"作品,ピース"
29,participate in,参加する
30,collect,"集める,収集する"
31,once,"いったん…すると,一度"
32,currently,"現在のところ,現在は,現在は,現在のところ、現在"
33,process,"過程／処理をする,処理する／プロセス、過程、処理,〜を処理する,プロセス、工程"
34,problem,"問題,問題"
35,experience,"経験,経験／~を経験する,〜を経験する,経験"
36,tour,"旅行／見学,見学する、旅行する／見学、旅行,視察,ツアー"
37,while,"〜している間に／…の一方で,～の間、～なのに"
38,center,"中心地／センター,中心の、中心"
39,supervisor,"監督者,上司、監督者,監督者,上司"
40,suggestion,"提案,提案,提案,提案"
41,coupon,クーポン
42,receive,"受け取る,受け取る"
43,participant,"参加者,参加者、関係者"
44,note that,ご注意ください
45,confirm,"確認する,確認する,〜を確認する,確認する"
46,meet,"会う,（要求）を満たす,会う"
47,reduce,"減らす,（値段を）下げる、減らす,（費用を）削減する,削減する"
48,concern,"心配,心配事、懸念事項,懸念、関心ごと,懸案する"
49,way,"方法／道,方法、道"
50,special,"特別,特別料理,特別、特別な"
51,prepare,"用意する,準備する,〜を準備する,準備する"
52,renovation,"改装,改修,改装"
53,early,"早い,早く"
54,view,"意見／眺め,風景,視野、観る"
55,return,"戻る／返す,〜を返す,返る、復帰"
56,approve,"承認する,承認する、賛成する,〜を認める、許可する,承認する"
57,budget,"予算,予算／予算に計上する,予算,予算"
58,team,"チーム,チーム"
59,recently,"最近,最近,最近,最近、"
60,shop,"買い物をする,ショップ、店"
61,fine,"素晴らしい,（天気が）晴れた、素晴らしい,罰金,晴れた、元気な"
62,home,"家,家"
63,reservation,"予約,予約,予約"
64,additional,"追加の,付加的な、追加の,追加の,追加の"
65,medical,"医学の,医療の,医療の,医療の"
66,move,"動かす／引っ越す,引っ越す,動く"
67,resource,"資源,資源,リソース"
68,show,"見せる,展示会,見せる"
69,design,"デザイン,設計する,設計する、設計"
70,total,"全部の,全部の、総計の,合計の,合計"
71,presentation,"プレゼンテーション,プレゼンテーション,プレゼンテーション"
72,bring,"持ってくる／もたらす,持ってくる"
73,improve,"改良する,改善する,〜を改善する,改善する"
74,several,"いくつか,いくつかの"
75,news,"知らせ,知らせ,ニュース"
76,service,"サービス／点検する,業務、サービス、奉仕,貢献,サービス"
77,through,"…を通して,～を通って、～を経て"
78,until,"…まで,～まで"
79,passenger,"乗客,乗客,乗客"
